Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Blackwater,2023,Mikael Marcimain,"['Asta Kamma August', 'Pernilla August', 'Rolf Lassgård', 'Sven Boräng', 'Alba August', 'Alva Adermark', 'Liam Gabrielsson Lövbrand', 'Erik Ehn', 'Liv Mjönes', 'Magnus Krepper', 'Alma Pöysti', 'Lucas Grimstedt', 'Jesper Sjölander', 'Ulf Rönnerstrand', 'Christian Fandango Sundgren', 'Rolf Degerlund', 'Kaj Snijder', 'William Beijer', 'Albert Berglund', 'Linda Wincent', 'Cecilia Nilsson', 'Ingmar Virta', 'Nathalie Williamsdotter', 'Kalle Lagerström', 'Emelie Jonsson', 'Harleen Kalkat', 'Malin Vispe']",3.47,nan,"['Drama', 'Crime']",nan,['Sweden'],Swedish,['Swedish'],['Apple Tree Productions'],508,61,64,0,0,6,6,17,23,85,96,108,9,20,370,https://letterboxd.com/film/blackwater-2023/
The Teachers’ Lounge,2023,İlker Çatak,"['Leonie Benesch', 'Leonard Stettnisch', 'Eva Löbau', 'Michael Klammer', 'Rafael Stachowiak', 'Sarah Bauerett', 'Kathrin Wehlisch', 'Anne-Kathrin Gummich', 'Katharina M. Schubert', 'Uygar Tamer', 'Özgür Karadeniz', 'Tim Porath', 'Kersten Reimann', 'Katinka Auberger', 'Canan Samadi', 'Benjamin Bishop', 'Henriette Sievers', 'Johanna Götting', 'Jade Nadarajah', 'Goya Rego', 'Yaw Boah-Amponsem', 'Oskar Zickur', 'Antonia Luise Krämer', 'Elsa Krieger', 'Vincent Stachowiak', 'Can Rodenbostel', 'Padmé Hamdemir', 'Lisa Marie Trense', 'Lotta Wriedt', 'Nelson Pres', 'Josefine Jahn', 'Lewe Wagner', 'Mikail Osanmaz', 'Ruben Kupisch', 'Emma Phu', 'Klara Lindner-Figura', 'Enno Hoppe', 'Ruby L. Kauka', 'Solomon Röthig', 'Zayana Mielke', 'Phileas Spallek', 'Ela Eroğlu']",3.78,nan,['Drama'],98,['Germany'],German,"['German', 'English', 'Polish', 'Turkish']","['if... Productions', 'ZDF', 'ARTE', 'Deutscher Filmförderfonds', 'MOIN Filmförderung Hamburg Schleswig-Holstein', 'Die Beauftragte der Bundesregierung für Kultur und Medien', 'Tandem']",24955,16144,6854,55,66,57,106,348,685,2575,5478,8250,2262,1033,20860,https://letterboxd.com/film/the-teachers-lounge-2023/
The Taste of Things,2023,Tran Anh Hung,"['Juliette Binoche', 'Benoît Magimel', ""Patrick d'Assumçao"", 'Emmanuel Salinger', 'Jan Hammenecker', 'Frédéric Fisbach', 'Galatéa Bellugi', 'Pierre Gagnaire', 'Bonnie Chagneau-Ravoire', 'Yannik Landrein', 'Sarah Adler', 'Jean-Marc Roulot']",3.84,nan,"['Romance', 'Drama']",135,"['Belgium', 'France']",French,['French'],"['Curiosa Films', 'France 2 Cinéma', 'uMedia', 'Gaumont', 'France Télévisions', 'Canal+', 'Ciné+', 'Région des Pays-de-la-Loire', 'CNC', 'uFund', 'PROCIREP', 'Umedia']",13778,13074,4432,75,50,125,126,323,534,1308,2111,3568,1766,1066,10977,https://letterboxd.com/film/the-taste-of-things/
Arno,2023,Benjamin Margan,['Manji Ijnam'],nan,nan,nan,7,['France'],No spoken language,['No spoken language'],nan,9,2,1,0,0,0,0,0,0,2,0,0,0,0,2,https://letterboxd.com/film/arno/
Close,2022,Lukas Dhont,"['Eden Dambrine', 'Gustav De Waele', 'Émilie Dequenne', 'Léa Drucker', 'Igor van Dessel', 'Kevin Janssens', 'Marc Weiss', 'Léon Bataille', 'Serine Ayari', 'Robin Keyaert', 'Herman van Slambrouck', 'Iven Deduytschaver', 'Jeffrey Vanhaeren', 'Hélène Theunissen', 'Baptiste Bataille', 'Pieter Piron', 'Freya De Corte', 'Cachou Kirsch', 'Ahlaam Teghadouini', 'Hervé Guerrisi']",4.09,nan,['Drama'],104,"['Belgium', 'France', 'Netherlands']",French,"['French', 'Dutch']","['Agat Films & Cie / Ex Nihilo', 'Diaphana Films', 'Topkapi Films', 'Versus Production', 'Menuet', 'Eurimages', 'Les Films Velvet', 'VTM', 'RTBF', 'Vlaams Audiovisueel Fonds', 'Nederlands Fonds voor de Film', 'Canal+', 'Ciné+', 'Sacem', ""Centre du Cinéma et de l'Audiovisuel de la FWB"", 'La Culture avec la Copie Privée', 'Casa Kafka Pictures', 'Screen Flanders', 'Lumière']",204532,58761,80700,4500,202,488,506,2414,3873,13825,22877,52909,31198,43615,171907,https://letterboxd.com/film/close-2022/
Riceboy Sleeps,2022,Anthony Shim,"['Choi Seung-yoon', 'Ethan Hwang', 'Dohyun Noel Hwang', 'Anthony Shim', 'Hunter Dillon', 'Jerina Son', 'Kang In-sung', 'Choi Jong-ryul', 'Lee Yong-nyeo', 'Vanessa Przada', 'Tristan Ranger', 'Aiden Finn', 'Kendra Anderson', 'Ryan Robbins', 'Eric Keenleyside', 'John Cassini', 'Sean Poague', 'Bryce Hodgson']",4.09,nan,['Drama'],117,['Canada'],English,"['English', 'Korean']","['Lonesome Heroes Productions', 'A Lasting Dose Productions', 'Kind Stranger Productions', 'Téléfilm Canada', 'Crave', 'The Harold Greenberg Fund']",12791,5290,5073,260,5,19,20,91,169,688,1478,3579,2259,2020,10328,https://letterboxd.com/film/riceboy-sleeps/
The Zone of Interest,2023,Jonathan Glazer,"['Christian Friedel', 'Sandra Hüller', 'Medusa Knopf', 'Daniel Holzberg', 'Ralph Herforth', 'Maximilian Beck', 'Sascha Maaz', 'Wolfgang Lampl', 'Johann Karthaus', 'Freya Kreutzkam', 'Lilli Falk', 'Nele Ahrensmeier', 'Stephanie Petrowitz', 'Marie Rosa Tietjen', 'Ralf Zillmann', 'Imogen Kogge', 'Zuzanna Kobiela', 'Julia Polaczek', 'Luis Noah Witte', 'Christopher Manavi', 'Kalman Wilson', 'Martyna Poznanski', 'Anastazja Drobniak', 'Cecylia Pekala', 'Andrey Isaev']",4.08,nan,"['Drama', 'War', 'History']",105,"['Poland', 'UK', 'USA']",Yiddish,"['Yiddish', 'Polish', 'German']","['A24', 'Film4 Productions', 'Access Entertainment', 'PISF', 'JW Films', 'Extreme Emotions']",134189,75793,38010,935,336,772,720,2575,3189,8951,12801,32654,25318,20160,107476,https://letterboxd.com/film/the-zone-of-interest/
Youth (Spring),2023,Wang Bing,nan,3.72,nan,['Documentary'],212,"['France', 'Luxembourg', 'Netherlands']",Chinese,['Chinese'],"['Yisha Production', 'Gladys Glover', 'House on Fire', 'Chinese Shadows', 'Les Films Fauves']",3112,2570,862,12,8,23,24,75,89,306,495,734,232,154,2140,https://letterboxd.com/film/youth-spring/
How to Save a Dead Friend,2022,Marusya Syroechkovskaya,"['Marusya Syroechkovskaya', 'Kirill Morev']",3.97,nan,['Documentary'],103,"['France', 'Germany', 'Norway', 'Sweden']",Russian,['Russian'],"['ARTE', 'Sisyfos Film', 'Folke Film', 'Les Films du Tambour de soie', 'RBB', 'Docs Vostok']",2624,1243,990,76,3,10,3,26,45,183,286,598,282,411,1847,https://letterboxd.com/film/how-to-save-a-dead-friend/
Smoking Causes Coughing,2022,Quentin Dupieux,"['Gilles Lellouche', 'Vincent Lacoste', 'Anaïs Demoustier', 'Jean-Pascal Zadi', 'Oulaya Amamra', 'Alain Chabat', 'David Marsais', 'Julia Faure', 'Adèle Exarchopoulos', 'Grégoire Ludig', 'Doria Tillier', 'Jérôme Niel', 'Blanche Gardin', 'Anthony Sonigo', 'Raphaël Quenard', 'Benoît Poelvoorde', 'Tanguy Mercier', 'Olivier Afonso', 'Ferdinand Canaud', 'Marie Bunel', 'Thémis Terrier-Thiébaux', 'Sava Lolov', 'Charlotte Laemmel', 'Franck Lascombes', 'Frédéric Bonpart', 'José Da Silva', 'Elodie Mareau', 'Lou Tribord', 'Zoé Tribord', 'Benoîte Chivot', 'Jules Dhios Francisco', 'Marie-Pierre Bellefleur']",3.47,nan,"['Comedy', 'Fantasy']",77,['France'],French,['French'],"['Chi-Fou-Mi Productions', 'Gaumont']",28481,8362,7104,37,119,343,346,1266,1968,5130,6196,5184,1039,818,22409,https://letterboxd.com/film/smoking-causes-coughing/
A Hundred Flowers,2022,Genki Kawamura,"['Masaki Suda', 'Mieko Harada', 'Masami Nagasawa', 'Masatoshi Nagase', 'Yukiya Kitamura', 'Amane Okayama', 'Yumi Kawai', 'Keishi Nagatsuka', 'Yuka Itaya', 'Misuzu Kanno', 'Fusako Urabe']",3.44,nan,['Drama'],104,['Japan'],Japanese,['Japanese'],"['AOI Pro.', 'TOHO', 'Story', 'GAGA Corporation', 'TV Asahi', 'Lawson Entertainment', 'East Japan Marketing & Communications', 'Asahi Broadcasting Corporation', 'Mainichi Shimbun', 'Nippan Group Holdings', 'Filmarks', 'Bungeishunju', 'EMI Records Japan']",1232,383,256,2,3,13,7,34,75,261,283,203,51,47,977,https://letterboxd.com/film/a-hundred-flowers/
Pacifiction,2022,Albert Serra,"['Benoît Magimel', 'Pahoa Mahagafanau', 'Marc Susini', 'Matahi Pambrun', 'Sergi López', 'Montse Triola', 'Michael Vautor', 'Cécile Guilbert', 'Lluís Serrat', 'Mike Landscape', 'Cyrus Arai', 'Mareva Wong', 'Baptiste Pinteaux', 'Laurent Brissonnaud', 'Florence Garneau', 'Práxedes de Vilallonga', 'Jean-Philippe Tahitua', 'Hinatea Boosie', 'Eva Bourgeois', 'Lorenzo Avve', 'Alexandre Melo']",3.61,nan,"['Thriller', 'Drama']",166,"['France', 'French Polynesia', 'Germany', 'Portugal', 'Spain']",French,"['French', 'Portuguese', 'Tahitian', 'English']","['Andergraun Films', 'Idéale Audience', 'Rosa Filmes', 'ARTE France Cinéma', 'Lupa Film', 'Tamtam Film', 'BR', 'Archipel Production']",18116,9136,5046,172,146,337,283,847,869,1895,2203,3426,1849,1375,13230,https://letterboxd.com/film/pacifiction/
The Creator,2023,Gareth Edwards,"['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann', 'Ralph Ineson', 'Michael Esper', 'Veronica Ngo', 'Ian Verdun', 'Daniel Ray Rodriguez', 'Rad Pereira', 'Syd Skidmore', 'Karen Aldridge', 'Teerawat Mulvilai', 'Leanna Chea', 'Sahatchai Chumrum', 'Apiwantana Duenkhao', 'Mariam Khummaung', 'Natthaphong Chaiyawong', 'Tawee Teesura', 'Kulsiri Thongrung', 'Charlie McElveen', 'Chananticha Chaipa', 'Sawanee Utoomma', 'Monthatip Suksopha', 'Brett Bartholomew', 'Jeb Kreager', 'Mackenzie Lansing', 'Stephen Howard Thomas', 'Agneta Catarina Békassy de Békas', 'Brett Parks', 'Phaithoon Wanglomklang', 'Ron Weaver', 'Mav Kang', 'John Garrett Mahlmeister', 'Scott Thomas', 'Kandanai Chotikapracal', 'Niko Rusakov', 'James David Henry', ""Eoin O'Brien"", 'Dana Blouin', 'Anjana Ghogar', 'Pongsanart Vinsiri', 'Molywon Phantarak', 'Chalee Sankhavesa', 'Pat Skelton', 'Elliot Berk', 'Art Ybarra']",3.3,nan,"['Action', 'Science Fiction', 'Adventure']",134,"['Canada', 'USA']",English,"['English', 'Japanese', 'Thai', 'Vietnamese']","['New Regency Pictures', 'Entertainment One', 'Regency Enterprises', 'Bad Dreams']",304160,76131,77673,520,944,2807,3898,15326,25877,63582,65874,58543,15377,13776,266004,https://letterboxd.com/film/the-creator-2023/
Love According to Dalva,2022,Emmanuelle Nicot,"['Zelda Samson', 'Alexis Manenti', 'Fanta Guirassy', 'Sandrine Blancke', 'Marie Denarnaud', ""Jean-Louis Coulloc'h"", 'Maïa Sandoz', 'Charlie Drach', 'Roman Coustère Hachez', 'Diego Murgia', 'Yasmina Maiza', 'Abdelmounim Snoussi', 'Babetida Sadjo', 'Gilles David', 'Romane Mouyal', 'Anne-Laure Penninck', 'Trancillia Bokungu', 'Zaire Souchi', 'Delphine Bibet', 'Eva Azevedo de Sousa', 'Joséphine Lucic', 'Alain Eloy', 'Laetitia Hogday', 'Jérôme Lanvin', 'Fayçal Benbahmed', 'Caroline Vonville']",3.76,nan,['Drama'],83,"['Belgium', 'France']",French,['French'],"['Hélicotronc', 'Tripode Productions', 'ARTE France Cinéma', 'RTBF', 'Proximus', 'Shelter Prod']",6359,2349,1602,21,8,17,15,78,141,698,1307,1914,537,378,5093,https://letterboxd.com/film/love-according-to-dalva/
Poor Things,2023,Yorgos Lanthimos,"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef', 'Jerrod Carmichael', 'Christopher Abbott', 'Margaret Qualley', 'Suzy Bemba', 'Kathryn Hunter', 'Hanna Schygulla', 'Vicki Pepperdine', 'Jack Barton', 'Charlie Hiscock', 'Attila Dobai', 'Emma Hindle', 'Anders Grundberg', 'Attila Kecskeméthy', 'Jucimar Barbosa', 'Carminho', 'Angela Paula Stander', 'Gustavo Gomes', 'Kate Handford', 'Owen Good', 'Zen Joshua Poisson', 'Vivienne Soan', 'Jerskin Fendrix', 'István Göz', 'Bruna Asdorian', 'Tamás Szabó Sipos', 'Tom Stourton', 'Mascuud Dahir', 'Miles Jovian', 'Jeremy Wheeler', 'János Geréb', 'Patrick de Valette', 'Raphaël Thiéry', 'Boris Gillot', 'Dorina Kovács', 'Yorgos Stefanakos', 'Hubert Benhamdine', 'Gábor Patay', 'Laurent Winkler', 'Andrew Hefler', 'Damien Bonnard', 'Noah Breton', 'Donovan Fouassier', 'Roderick Hill', 'Wayne Brett', 'John Locke', 'Keeley Forsyth', 'David Bromley']",4.23,nan,"['Romance', 'Science Fiction', 'Comedy']",141,"['Ireland', 'UK', 'USA']",English,"['English', 'French', 'Portuguese']","['Searchlight Pictures', 'Film4 Productions', 'TSG Entertainment', 'Element Pictures']",647136,185710,275625,12000,2886,3894,2718,8846,10269,29328,48906,146520,142784,167403,563554,https://letterboxd.com/film/poor-things-2023/
Pearl,2022,Ti West,"['Mia Goth', 'David Corenswet', 'Tandi Wright', 'Matthew Sunderland', 'Emma Jenkins-Purro', 'Alistair Sewell', 'Amelia Reid', 'Gabe McDonnell', 'Lauren Stewart', 'Todd Rippon', 'Grace Acheson']",3.75,nan,"['Horror', 'Drama']",102,['USA'],English,"['English', 'German']","['A24', 'Little Lamb Productions']",858190,197409,326534,16000,1656,4072,3708,16523,23467,91853,125111,231930,80628,134581,713529,https://letterboxd.com/film/pearl-2022/
The Territory,2022,Alex Pritz,"['Neidinha Bandeira', 'Bitaté Uru-Eu-Wau-Wau', 'Ari Uru-Eu-Wau-Wau']",3.86,nan,['Documentary'],85,"['Brazil', 'Canada', 'Denmark', 'USA']",Portuguese,"['Portuguese', 'English']","['Documist', 'XTR', 'TIME Studios', 'Protozoa Pictures', 'Passion Pictures', 'Real Lava', 'National Geographic Documentary Films']",5283,3042,1596,16,2,4,7,55,85,470,884,1440,458,583,3988,https://letterboxd.com/film/the-territory-2022/
EO,2022,Jerzy Skolimowski,"['Sandra Drzymalska', 'Isabelle Huppert', 'Lorenzo Zurzolo', 'Mateusz Kościukiewicz', 'Tomasz Organek', 'Lolita Chammah', 'Agata Sasinowska', 'Anna Rokita', 'Michał Przybysławski', 'Gloria Iradukunda', 'Piotr Szaja', 'Aleksander Janiszewski', 'Delfina Wilkońska', 'Andrzej Szeremeta', 'Wojciech Andrzejuk', 'Mateusz Murański', 'Marcin Drabicki', 'Maciej Stępniak', 'Fernando Junior Gomes da Silva', 'Krzysztof Karczmarz', 'Waldemar Barwiński', 'Saverio Fabbri', 'Katarzyna Russ', 'Kateřina Holánová']",3.56,nan,['Drama'],88,"['Italy', 'Poland']",Polish,"['Polish', 'English', 'Italian', 'French', 'Spanish']","['Skopia Film', 'Alien Films', 'HAKA Films', 'Moderator Inwestycje', 'PISF', 'MiC', 'Regione Lazio']",82725,31840,21583,205,336,853,865,2953,4456,12334,15914,18659,5183,3818,65371,https://letterboxd.com/film/eo/
Burning Days,2022,Emin Alper,"['Selahattin Paşalı', 'Ekin Koç', 'Selin Yeninci', 'Erol Babaoğlu', 'Erdem Şenocak', 'Sinan Demirer', 'Nizam Namidar', 'Ali Seçkiner Alıcı', 'Eylül Ersöz', 'Onur Gürçay', 'Mehmet Kervancı', 'Hatice Aslan', 'İsmail Bahadır Peker', 'Enver Hüsrevoğlu', 'Emin Alper']",3.89,nan,"['Drama', 'Thriller']",131,"['Croatia', 'France', 'Germany', 'Greece', 'Netherlands', 'Turkey']",Turkish,['Turkish'],"['Liman Film', 'Circe Films', 'Horsefly Productions', '4Film', 'Gloria Films', 'Ay Yapım', 'Zola Yapım', 'The Match Factory']",40649,6451,11754,245,61,109,99,456,734,2703,4688,11169,5961,5409,31389,https://letterboxd.com/film/burning-days/
Bottoms,2023,Emma Seligman,"['Rachel Sennott', 'Ayo Edebiri', 'Ruby Cruz', 'Havana Rose Liu', 'Kaia Gerber', 'Nicholas Galitzine', 'Miles Fowler', 'Marshawn Lynch', 'Dagmara Domińczyk', 'Punkie Johnson', 'Zamani Wilder', 'Summer Joy Campbell', 'Virginia Tucker', 'Wayne Pére', 'Toby Nichols', 'Cameron Stout', 'Ted Ferguson', 'Bruno Rose', 'Zach Primo', 'Liz Elkins Newcomer', 'Krystal Alayne Chambers', 'Alyssa Matthews']",3.87,nan,['Comedy'],91,['USA'],English,['English'],"['Brownstone Productions', 'Orion Pictures']",765375,155955,323599,16000,2603,5309,4552,17348,22010,72993,98106,182637,81912,173632,661102,https://letterboxd.com/film/bottoms/
All the Beauty and the Bloodshed,2022,Laura Poitras,"['Nan Goldin', 'Marina Berio', 'David Wojnarowicz', 'Cookie Mueller', 'Noemi Bonazzi', 'Harry Cullen', 'Megan Kapler', 'Annatina Miescher', 'Mike Quinn', 'Patrick Radden Keefe', 'Darryl Pinckney', 'Maggie Smith', 'David Velasco', 'Alexis Pleus', 'Robert Suarez', 'David Armstrong', 'Barbara Goldin', 'Sharon Niesp', 'Arthur Sackler', 'John Waters', 'David Sackler', 'Theresa Sackler', 'Richard Sackler', 'Leonard Bernstein']",4.18,nan,['Documentary'],122,['USA'],English,['English'],['Participant'],59779,26937,21727,418,29,93,98,463,774,2974,5307,14729,10149,10282,44898,https://letterboxd.com/film/all-the-beauty-and-the-bloodshed/
