Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
The Empire Strikes Back,1980,Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'Peter Mayhew', 'Kenny Baker', 'Frank Oz', 'Alec Guinness', 'Jeremy Bulloch', 'Jason Wingreen', 'John Hollis', 'Jack Purvis', 'Des Webb', 'Kathryn Mullen', 'Marjorie Eaton', 'Clive Revill', 'Kenneth Colley', 'Julian Glover', 'Michael Sheard', 'Michael Culver', 'John Dicks', 'Milton Johns', 'Mark Jones', 'Oliver Maguire', 'Robin Scobey', 'Bruce Boa', 'Christopher Malcolm', 'Denis Lawson', 'Richard Oldfield', 'John Morton', 'Ian Liston', 'John Ratzenberger', 'Jack McKenzie', 'Jerry Harte', 'Norman Chancer', 'Norwich Duff', 'Ray Hassett', 'Brigitte Kahn', 'Burnell Tucker', 'Bob Anderson', 'Lightning Bear', 'Richard Bonehill', 'John Cannon', 'Mark Capri', 'Martin Dew', 'Peter Diamond', 'Stuart Fell', 'Doug Robinson', 'Tony Smart', 'Alan Harris', 'James Earl Jones', 'Mac McDonald', 'Ralph McQuarrie', 'Ralph Morse', 'Terry Richards', 'Treat Williams', 'Shaun Curry', 'Alan Austen', 'Jim Dowdall', 'Tom Egeland', 'Alan Flyng', 'Trevor Butterfield', 'Mercedes Burleigh', 'Jane Busby', 'Maurice Bush', 'Tony Clarkin', 'Mike Edmonds', 'Walter Henry', 'Paul Jerricho', 'Joe Johnston', 'Steven Meek', 'Peter Roy', 'Stephanie English', 'Michael Leader', 'Egbert Sen', 'Elaine Baker']",4.4,4.5,"['Action', 'Science Fiction', 'Adventure']",124,['USA'],English,['English'],['Lucasfilm Ltd.'],1913998,294484,687700,44000,885,2249,1195,8759,8799,66567,72881,266633,182273,465343,1075584,https://letterboxd.com/film/the-empire-strikes-back/
Fanny and Alexander,1982,Ingmar Bergman,"['Pernilla Allwin', 'Bertil Guve', 'Jan Malmsjö', 'Börje Ahlstedt', 'Anna Bergman', 'Gunn Wållgren', 'Kristina Adolphson', 'Erland Josephson', 'Mats Bergman', 'Jarl Kulle', 'Allan Edwall', 'Ewa Fröling', 'Harriet Andersson', 'Gunnar Björnstrand', 'Stina Ekblad', 'Pernilla August', 'Mona Malm', 'Christina Schollin', 'Kerstin Tidelius', 'Inga Ålenius', 'Hugo Hasslo', 'Kristian Almgren', 'Carl Billquist', 'Axel Düberg', 'Siv Ericks', 'Patricia Gélin', 'Majlis Granlund', 'Maria Granlund', 'Eva von Hanno', 'Sonya Hedenbratt', 'Olle Hilding', 'Svea Holst', 'Käbi Laretei', 'Lena Olin', 'Gösta Prüzelius', 'Hans Strååt', 'Emelie Werkö', 'Marianne Aminoff', 'Mona Andersson', 'Hans Henrik Lerfeldt', 'Marrit Ohlsson', 'Nils Brandt', 'Lars-Owe Carlberg', 'Gus Dahlström', 'Ernst Günther', 'Heinz Hopf', 'Sune Mangs', 'Peter Stormare', 'Maud Hyttenberg', 'Sven-Erik Jacobsson', 'Marianne Nielsen']",4.4,5.0,"['Mystery', 'Drama', 'Fantasy']",188,"['Sweden', 'Germany', 'France']",Swedish,"['Swedish', 'Yiddish', 'German', 'English']","['Cinematograph AB', 'Svenska Filminstitutet', 'SVT', 'Gaumont', 'Personafilm', 'Tobis']",75618,56327,23391,1500,88,162,122,580,637,2556,3704,11215,9535,16513,45112,https://letterboxd.com/film/fanny-and-alexander/
The Human Condition II: Road to Eternity,1959,Masaki Kobayashi,"['Tatsuya Nakadai', 'Michiyo Aratama', 'Kokinji Katsura', 'Jun Tatara', 'Michirō Minami', 'Kei Satō', 'Kunie Tanaka', 'Ryôhei Uchida', 'Kan Yanagiya', 'Kenjiro Uemura', 'Kaneko Iwasaki', 'Mayumi Kurata', 'Taketoshi Naitō', 'Hideo Kidokoro', 'Yoshirō Aoki', 'Rō Ose', 'Tamotsu Tamura', 'Tōru Takeuchi', 'Izumi Hara', 'Sen Yano', 'Akio Miyabe', 'Takashi Ebata', 'Keiji Sada', 'Yūsuke Kawazu', 'Susumu Fujita', 'Minoru Chiaki', 'Shōji Yasui', 'Fumio Watanabe', 'Jun Hamamura', 'Akiji Kobayashi', 'Keijirō Morozumi', 'Shōbun Inoue', 'Shojiro Ogasawara', 'Shōji Ōki', 'Isao Suenaga', 'Hisashi Igawa']",4.4,4.0,"['History', 'Drama', 'War']",178,['Japan'],Japanese,"['Japanese', 'Russian', 'Chinese']",['Ninjin Club'],21539,18614,7793,84,27,26,29,70,125,481,1114,3901,3822,4720,14315,https://letterboxd.com/film/the-human-condition-ii-road-to-eternity/
"Paris, Texas",1984,Wim Wenders,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell', 'Hunter Carson', 'Aurore Clément', 'Bernhard Wicki', 'John Lurie', 'Jeni Vici', 'Sally Norvell', 'Socorro Valdez', 'Claresie Mobley', 'Viva', 'Tom Farrell', 'Sam Berry', 'Edward Fayton', 'Justin Hogg', 'Sharon Menzel', 'The Mydolls']",4.4,4.5,['Drama'],145,"['France', 'Germany', 'UK']",English,"['English', 'Spanish']","['Pro-ject Filmproduktion', 'Argos Films', 'WDR', 'Road Movies', 'Film4 Productions']",359667,126967,150009,21000,305,683,596,2668,3124,12875,20681,62419,54814,93862,252027,https://letterboxd.com/film/paris-texas/
Do the Right Thing,1989,Spike Lee,"['Danny Aiello', 'Spike Lee', 'Ossie Davis', 'Richard Edson', 'John Turturro', 'Ruby Dee', 'Bill Nunn', 'Giancarlo Esposito', 'Rosie Perez', 'Roger Guenveur Smith', 'Samuel L. Jackson', 'Paul Benjamin', 'Frankie Faison', 'Robin Harris', 'Joie Lee', 'Miguel Sandoval', 'Rick Aiello', 'Steve Park', 'Ginny Yang', 'John Savage', 'Steve White', 'Martin Lawrence', 'Leonard L. Thomas', 'Christa Rivers', 'Frank Vincent', 'Luis Antonio Ramos', 'Richard Habersham', 'Gwen McGee', 'Sherwin Park', 'Shawn Elliott', 'Diva Osorio', 'Chris Delaney', 'Angel Ramirez Jr.', 'Sixto Ramos', 'Nelson Vasquez', 'Travell Lee Toulson', 'Joel Nagle', 'David E. Weinberg', 'Yatte Brown', 'Mecca Brunson', 'Shawn Stainback', 'Soquana Wallace', 'Erik Dellums', 'Nicholas Turturro']",4.4,5.0,['Drama'],120,['USA'],English,"['English', 'Korean', 'Italian', 'Spanish']","['40 Acres and a Mule Filmworks', 'Universal Pictures']",408788,135352,151115,7600,326,642,512,2431,2868,13869,21558,71625,60798,98731,273360,https://letterboxd.com/film/do-the-right-thing/
Perfect Blue,1997,Satoshi Kon,"['Junko Iwao', 'Rica Matsumoto', 'Shiho Niiyama', 'Masaaki Okura', 'Shinpachi Tsuji', 'Emiko Furukawa', 'Yosuke Akimoto', 'Yoku Shioya', 'Hideyuki Hori', 'Emi Shinohara', 'Masashi Ebara', 'Kiyoyuki Yanada', 'Toru Furusawa', 'Teiya Ichiryusai', 'Shin-ichiro Miki', 'Megumi Tano', 'Emi Motoi', 'Akio Suyama', 'Osamu Hosoi', 'Koichi Tochika', 'Soichiro Hoshi', 'Kisho Taniyama', 'Shokkâ Ôno', 'Rofuto Purasu Wan Burazâzu', 'Makoto Kitano', 'Kaori Minami', 'Jin Yamanoi', 'Takashi Nagasako']",4.4,4.5,"['Thriller', 'Animation']",81,['Japan'],Japanese,['Japanese'],"['Madhouse', 'Rex Entertainment', 'Kotobuki Seihan Printing', 'Asahi Broadcasting Corporation', 'Fangs Co.']",668892,174072,304536,29000,542,876,652,2948,3984,19554,35656,125477,106125,189330,485144,https://letterboxd.com/film/perfect-blue/
Oldboy,2003,Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jung', 'Kim Byeong-ok', 'Ji Dae-han', 'Oh Dal-su', 'Seung-shin Lee', 'Yoon Jin-seo', 'Oh Tae-kyung', 'Yoo Yeon-seok', 'You Il-han', 'Oh Kwang-rok', 'Park Myung-shin', 'Lee Dae-yeon', 'Kim Su-hyun', 'Yong-ih', 'Syd Lim', 'Mun Seong-bok', 'Yoon Jin-yul', 'Park Jae-Woong', 'Seo Myeong-Seok', 'Lee Young-hee', 'Han Jae-duk', 'Kim San', 'Kwak Jung-ae']",4.39,4.0,"['Thriller', 'Mystery', 'Drama', 'Action']",120,['South Korea'],Korean,['Korean'],"['Show East', 'CJ Entertainment', 'Egg Film', 'Cineclick Asia']",932887,199473,346311,29000,1621,2331,1675,6565,7260,30420,48760,166899,146576,233481,645588,https://letterboxd.com/film/oldboy/
Incendies,2010,Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Rémy Girard', 'Allen Altman', 'Abdelghafour Elaaziz', 'Dominique Briand', 'Frédéric Paquet', 'Ahmad Massad', 'John Dunn-Hill', 'Jackie Sawiris', 'Lara Atalla', 'Baya Belal', 'Yousef Shweihat', 'Karim Babin', 'Mohamed Majd', 'Mustafa Kamel', 'Hussein Sami', 'Hamed Najem', 'Bader Alami', 'Majida Hussein', 'Asriah Nijres', 'Nadia Essadiqi', 'Baraka Rahmani']",4.39,4.5,"['Mystery', 'War', 'Drama']",131,"['Canada', 'France']",French,"['French', 'Arabic', 'English']","['TS Productions', 'Phi Group', 'micro_scope']",233417,74833,84718,5900,272,424,398,1528,1978,7551,14049,45947,44800,52901,169848,https://letterboxd.com/film/incendies/
Barry Lyndon,1975,Stanley Kubrick,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger', 'Diana Körner', 'Gay Hamilton', 'Frank Middlemass', ""Arthur O'Sullivan"", 'Godfrey Quigley', 'Leonard Rossiter', 'Philip Stone', 'Steven Berkoff', 'Marie Kean', 'Murray Melvin', 'André Morell', 'Leon Vitali', 'Billy Boyle', 'John Bindon', 'Roger Booth', 'Jonathan Cecil', 'Peter Cellier', 'Geoffrey Chater', 'Anthony Dawes', 'Patrick Dawson', 'Bernard Hepton', 'Anthony Herrick', 'Barry Jackson', 'Wolf Kahler', 'Pat Laffan', 'Hans Meyer', 'Ferdy Mayne', 'David Morley', 'Liam Redmond', 'Pat Roach', 'Dominic Savage', 'Frederick Schiller', 'George Sewell', 'Anthony Sharp', 'John Sharp', 'Roy Spencer', 'Michael Hordern', 'John Sullivan', 'Harry Towb']",4.39,4.5,"['Drama', 'Romance', 'War']",185,"['UK', 'USA']",English,"['English', 'German', 'French']","['Warner Bros. Pictures', 'Hawk Films', 'Peregrine']",273686,125965,95342,8500,281,663,508,2407,2777,11135,16166,43927,38604,68569,185037,https://letterboxd.com/film/barry-lyndon/
The Cranes Are Flying,1957,Mikhail Kalatozov,"['Tatyana Samoylova', 'Aleksey Batalov', 'Vasili Merkuryev', 'Aleksandr Shvorin', 'Svetlana Kharitonova', 'Konstantin Kadochnikov', 'Valentin Zubkov', 'Antonina Bogdanova', 'Boris Kokovkin', 'Ekaterina Kupriyanova', 'Valentina Ananina', 'Valentina Vladimirova', 'Olga Dzisko', 'Leonid Knyazev', 'Georgiy Kulikov', 'Daniil Netrebin', 'Aleksandr Popov', 'Irina Preis', 'Nikolay Smorchkov', 'Galina Stepanova', 'Klarina Frolova-Vorontsova', 'Georgiy Shamshurin', 'Leonid Alekseyev', 'Valentina Berezutskaya', 'Maya Bulgakova', 'Lidiya Vinogradova', 'Lidiya Genel-Ablova', 'Aleksandr Degtyar', 'Anatoliy Dudorov', 'Tamara Evgeneva-Ivanova', 'Ivan Zalesskiy', 'Anna Zargitckaia', 'Maria Klyuchareva', 'Yuri Komissarov', 'Aleksandr Kuznetsov', 'Yevgeniya Lyzhina', 'Alevtina Rumyantseva', 'Mikhail Semenikhin', 'Lyubov Sokolova', 'Lyubov Studneva', 'Vasiliy Fushchich', 'Vasiliy Tsygankov', 'Evgeni Kudryashov']",4.39,5.0,"['Romance', 'War', 'Drama']",97,['USSR'],Russian,['Russian'],['Mosfilm'],43660,32441,16555,856,22,52,50,201,284,1293,2746,8116,7802,9205,29771,https://letterboxd.com/film/the-cranes-are-flying/
It's a Wonderful Life,1946,Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers', 'Beulah Bondi', 'Frank Faylen', 'Ward Bond', 'Gloria Grahame', 'H.B. Warner', 'Frank Albertson', 'Todd Karns', 'Samuel S. Hinds', 'Mary Treen', 'Virginia Patton', 'Charles Williams', 'Sarah Edwards', 'William Edmunds', 'Lillian Randolph', 'Argentina Brunetti', 'Robert J. Anderson', 'Ronnie Ralph', 'Jeanne Gail', 'Jeanine Ann Roose', 'Danny Mummert', 'Georgie Nokes', 'Sheldon Leonard', 'Frank Hagney', 'Ray Walker', 'Charles Lane', 'Edward Keane', 'Carol Coombs', 'Karolyn Grimes', 'Larry Simms', 'Jimmy Hawkins', 'Jean Acker', 'Ernie Adams', 'Monya Andre', 'Stanley Andrews', 'Sam Ash', 'Jack Bailey', 'Louise Bates', 'Mary Bayless', 'Beth Belden', 'Brooks Benedict', 'Joseph E. Bernard', 'Al Bridge', 'Buz Buckley', 'Marian Carr', 'Adriana Caselotti', 'Lane Chandler', 'Michael Chapin', 'Tom Chatterton', 'Jack Cheatham', 'Harry Cheshire', 'Edward Clark', 'Tom Coleman', 'Ellen Corby', 'Bryn Davis', 'Lew Davis', 'Harry Denny', 'Helen Dickson', 'Dick Elliott', 'Tom Fadden', 'Frank Fenton', 'Eddie Fetherston', 'Sam Flint', 'Lee Frederick', 'Dick Gordon', 'Jack Gordon', 'Herschel Graham', 'Joseph Granby', 'Charles Halton', 'Carl Eric Hansen', 'Herbert Heywood', 'Harry Holman', 'Art Howard', 'Bert Howard', 'Arthur Stuart Hull', 'John Indrisano', 'Eddie Kane', 'Carl Kent', 'Milton Kibbee', 'Effie Laird', 'Mike Lally', 'Harold Landon', ""Meade 'Lux' Lewis"", 'Jack Lomas', 'J. Farrell MacDonald', 'Irene Mack', 'Wilbur Mack', 'Charles Meakin', 'Priscilla Montgomery', 'Bert Moorhouse', 'Evelyn Moriarty', 'Philip Morris', 'George Noisom', ""Bob O'Connor"", ""Frank O'Connor"", ""Lynn O'Leary-Jameson"", 'Moroni Olsen', 'Garry Owen', 'Netta Packer', 'Franklin Parker', 'Suzanne Ridgway', 'Mark Roberts', 'Constantine Romanoff', 'Cy Schindell', 'Almira Sessions', 'Cedric Stevens', 'Brick Sullivan', 'Charles Sullivan', 'Carl Switzer', 'Max Wagner', 'Larry Wheat', 'Charles C. Wilson', 'Jimmy the Crow', 'Finn Zirzow']",4.39,5.0,"['Family', 'Drama', 'Fantasy']",130,['USA'],English,['English'],['Liberty Films'],579557,148002,193365,12000,705,1679,890,4911,4494,22746,26659,81452,61114,143211,347861,https://letterboxd.com/film/its-a-wonderful-life/
Once Upon a Time in the West,1968,Sergio Leone,"['Claudia Cardinale', 'Henry Fonda', 'Jason Robards', 'Charles Bronson', 'Gabriele Ferzetti', 'Paolo Stoppa', 'Woody Strode', 'Jack Elam', 'Keenan Wynn', 'Frank Wolff', 'Lionel Stander', 'Frank Braña', 'Stefano Imparato', 'Claudio Mancini', 'Al Mulock', 'Antonio Palombi', 'Renato Pinciroli', 'Aldo Sambrell', 'Conrado San Martín', 'Enzo Santaniello', 'Simonetta Santaniello', 'Luana Strode', 'Fabio Testi', 'Marco Zuanelli', 'Antonio Molino Rojo', 'Román Ariznavarreta', 'John Frederick', 'Aldo Berti', 'Spartaco Conversi', 'Saturno Cerra', 'Paolo Figlia']",4.38,5.0,"['Drama', 'Western']",166,"['Italy', 'USA']",English,['English'],"['Paramount', 'Rafran Cinematografica', 'San Marco']",240556,87076,76196,6300,164,380,329,1545,2077,8961,13252,38067,32614,50633,148022,https://letterboxd.com/film/once-upon-a-time-in-the-west/
The Lord of the Rings: The Two Towers,2002,Peter Jackson,"['Elijah Wood', 'Sean Astin', 'Andy Serkis', 'Viggo Mortensen', 'Ian McKellen', 'Bernard Hill', 'Dominic Monaghan', 'Billy Boyd', 'John Rhys-Davies', 'Orlando Bloom', 'Christopher Lee', 'Miranda Otto', 'David Wenham', 'Brad Dourif', 'Karl Urban', 'Liv Tyler', 'Cate Blanchett', 'Hugo Weaving', 'Craig Parker', 'Bruce Allpress', 'John Bach', 'Sala Baker', 'Jed Brophy', 'Sam Comery', 'Calum Gittins', 'Phil Grieve', 'Bruce Hopkins', 'Paris Howe Strewe', 'Nathaniel Lees', 'John Leigh', 'Robbie Magasiva', 'Robyn Malcolm', 'Bruce Phillips', 'Robert Pollock', 'Olivia Tennet', 'Raymond Trickitt', 'Stephen Ure', 'Billy Jackson', 'Katie Jackson', 'Sean Bean', 'John Noble', 'Victoria Beynon-Cole', 'Lee Hartley', 'Frazer Anderson', 'Ben Barrington', 'Jarl Benzon', 'Jørn Benzon', 'Owen Black', 'Dorothy Anne Bonner', 'Ben Britton', 'Riley Brophy', 'Alistair Browning', 'Alix Bushnell', 'Sean Button', 'Ryan Carey', 'Rodney Cook', 'Augie Davis', 'Mana Hira Davis', 'Shane Dawson', 'Karlos Drinkwater', 'Aron Eastwood', 'Frank Edwards', 'Clint Elvy', 'Alexia Fairbrother', 'Daniel Falconer', 'Siaosi Fonua', 'Kester Fordham', 'Michael Fowler', 'Ben Fransham', 'Frank Goldingham', 'Winham Hammond', 'Jonathan Harding', 'Lucas Hayward', 'Dan Hennah', 'Jason Hood', 'Lani Jackson', 'Peter Jackson', 'Gareth Jensen', 'Sam Kelly', 'Richard Knowles', 'Sandro Kopp', 'Sam La Hood', 'Don Langridge', 'Michael Lawrence', 'Alan Lee', 'Jono Manks', 'Brent McIntyre', 'Dra McKay', 'Joseph Mika-Hunt', 'Dean Morganty', 'Henry Mortensen', 'Francis Mountjoy', 'Paul Norell', 'Barrie M. Osborne', 'Allan Poppleton', 'Gareth Reeves', 'Miranda Rivers', 'Campbell Rousselle', 'Matthew J. Saville', 'Samuel E. Shore', 'Allan Smith', 'Greg Tozer', 'Piripi Waretini', 'Tim Wong', 'John Wraight', 'Kelley Kerr Young', 'Robert Young']",4.38,5.0,"['Fantasy', 'Adventure', 'Action']",179,"['New Zealand', 'USA']",English,['English'],"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",1718251,179256,553323,17000,1387,3814,1593,11181,9648,60571,65203,232956,164425,401126,951904,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
A Woman Under the Influence,1974,John Cassavetes,"['Gena Rowlands', 'Peter Falk', 'Fred Draper', 'Lady Rowlands', 'Katherine Cassavetes', 'Matthew Labyorteaux', 'Matthew Cassel', 'Christina Grisanti', 'George Dunn', 'Mario Gallo', 'Eddie Shaw', 'Angelo Grisanti', 'Charles Horvath', 'James Joyce', 'John Finnegan', 'Vincent Barbi', 'Cliff Carnell', 'Frank Richards', 'Hugh Hurd', 'Leon Wagner', 'Dominique Davalos', 'Xan Cassavetes', 'Pancho Meisenheimer', 'Sonny Aprile', 'Ellen Davalos', 'Joanne Moore Jordan', 'John Hawker', 'Sylvester Words', 'Elizabeth Deering', 'Jackie Peters', 'Elsie Ames', 'N.J. Cassavetes']",4.38,4.5,['Drama'],155,['USA'],English,"['English', 'Italian']",['Faces International Films'],103618,62139,38962,3100,134,201,209,756,914,3614,5543,17023,15277,23951,67622,https://letterboxd.com/film/a-woman-under-the-influence/
It's Such a Beautiful Day,2012,Don Hertzfeldt,"['Don Hertzfeldt', 'Sara Cushman']",4.38,5.0,"['Comedy', 'Animation']",62,['USA'],English,['English'],['Bitter Films'],115277,48356,47258,5700,247,429,358,1121,1316,4331,6414,17402,14570,30098,76286,https://letterboxd.com/film/its-such-a-beautiful-day/
The Red Shoes,1948,"Emeric Pressburger, Michael Powell","['Moira Shearer', 'Adolf Wohlbrück', 'Marius Goring', 'Léonide Massine', 'Robert Helpmann', 'Albert Bassermann', 'Esmond Knight', 'Ludmilla Tchérina', 'Jean Short', 'Gordon Littmann', 'Julia Lang', 'Bill Shine', 'Austin Trevor', 'Eric Berry', 'Irene Browne', 'Jerry Verno', 'Derek Elphinstone', 'Marie Rambert', 'Joy Rawlins', 'Marcel Poncin', 'Michel Bazalgette', 'Patrick Troughton', 'Emeric Pressburger']",4.38,4.5,"['Drama', 'Romance']",133,['UK'],English,"['English', 'Russian', 'French']","['Independent Producers', 'The Archers', 'J. Arthur Rank Organisation']",119060,78861,45798,3300,72,161,160,761,999,4354,6771,19822,16917,28143,78160,https://letterboxd.com/film/the-red-shoes/
The Battle of Algiers,1966,Gillo Pontecorvo,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash', 'Ugo Paletti', 'Fusia El Kader', 'Mohamed Ben Kassen', 'Gene Wesson']",4.38,4.0,"['War', 'History', 'Drama']",121,"['Italy', 'Algeria']",Arabic,"['Arabic', 'English', 'French']","['Igor Film', 'Casbah Film']",91437,51076,28973,1400,71,111,133,502,678,3121,5325,16086,13299,18958,58284,https://letterboxd.com/film/the-battle-of-algiers/
Rear Window,1954,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter', 'Raymond Burr', 'Judith Evelyn', 'Ross Bagdasarian', 'Georgine Darcy', 'Sara Berner', 'Frank Cady', 'Jesslyn Fax', 'Rand Harper', 'Irene Winston', 'Havis Davenport', 'Jerry Antes', 'Benny Bartlett', 'Nick Borgani', 'Sue Casey', 'Iphigenie Castiglioni', 'James Cornell', 'Don Dunning', 'Marla English', 'Bess Flowers', 'Art Gilmore', 'Fred Graham', 'Kathryn Grant', 'Charles Harvey', 'Len Hendry', 'Alfred Hitchcock', 'Harry Landers', 'Alan Lee', 'Mike Mahoney', 'Jonnie Paris', 'Eddie Parker', 'Robert Sherman', 'Dick Simmons', 'Ralph Smiley', 'Jack Stoney', 'Anthony Warde', 'Gig Young']",4.38,5.0,"['Mystery', 'Thriller']",115,['USA'],English,['English'],"['Paramount', 'Patron Inc.']",684952,171253,240085,12000,244,610,492,2880,3903,22763,37293,124547,88959,143650,425341,https://letterboxd.com/film/rear-window/
Sansho the Bailiff,1954,Kenji Mizoguchi,"['Kinuyo Tanaka', 'Yoshiaki Hanayagi', 'Kyōko Kagawa', 'Eitarō Shindō', 'Akitake Kôno', 'Masahiko Tsugawa', 'Keiko Enami', 'Masao Shimizu', 'Ken Mitsuda', 'Kazukimi Okuni', 'Yōko Kozono', 'Noriko Tachibana', 'Ichirō Sugai', 'Teruko Omi', 'Chieko Naniwa', 'Kikue Mōri', 'Ryōsuke Kagawa', 'Kanji Koshiba', 'Shinobu Araki', 'Reiko Kongō', 'Shōzō Nanbu', 'Ryōnosuke Azuma', 'Sumao Ishihara', 'Yukio Horikita', 'Jun Fujikawa', 'Sōji Shibata', 'Akira Shimizu', 'Midori Komatsu', 'Tokio Oki', 'Akira Shiga', 'Saburo Date', 'Goro Nakanishi', 'Ichirō Amano', 'Hachiro Okuni', 'Akiyoshi Kikuno']",4.37,4.0,['Drama'],124,['Japan'],Japanese,['Japanese'],['Daiei Film'],38270,36395,12838,430,29,41,51,158,331,1309,2271,6708,5542,8043,24483,https://letterboxd.com/film/sansho-the-bailiff/
The Ascent,1977,Larisa Shepitko,"['Boris Plotnikov', 'Vladimir Gostyukhin', 'Sergey Yakovlev', 'Lyudmila Polyakova', 'Viktoriya Goldentul', 'Anatoliy Solonitsyn', 'Mariya Vinogradova', 'Nikolai Sektimenko', 'Anatoli Chebotaryov', 'Sergei Kanishchev', 'Vasili Kravtsov', 'Mikhail Selyutin', 'Leonid Yukhin', 'Aleksandr Zvenigorskiy', 'Vladimir Rudyy', 'Sergey Fyodorov']",4.37,4.0,"['Drama', 'War']",111,['USSR'],Russian,"['Russian', 'German']","['Mosfilm', 'Tretye Tvorcheskoe Obyedinenie']",36476,32428,13411,577,22,34,41,160,278,1029,2307,7284,6817,7299,25271,https://letterboxd.com/film/the-ascent/
Princess Mononoke,1997,Hayao Miyazaki,"['Youji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Kaoru Kobayashi', 'Masahiko Nishimura', 'Tsunehiko Kamijô', 'Akihiro Miwa', 'Mitsuko Mori', 'Hisaya Morishige', 'Sumi Shimamoto', 'Tetsu Watanabe', 'Makoto Satō', 'Akira Nagoya', 'Kei Iinuma', 'Yayoi Kazuki', 'Kimihiro Reizei', 'Yoshimasa Kondo', 'Akira Sakamoto', 'Shirô Saitô', 'Daikichi Sugawara', 'Takako Katou', 'Ikuko Yamamoto', 'Kiho Iinuma']",4.37,4.0,"['Adventure', 'Fantasy', 'Animation']",134,['Japan'],Japanese,['Japanese'],"['Studio Ghibli', 'Nibariki', 'dentsu Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu']",1081651,196954,430195,33000,429,1070,841,5307,6583,37770,56473,180249,129890,265341,683953,https://letterboxd.com/film/princess-mononoke/
"Sherlock, Jr.",1924,Buster Keaton,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly', 'Ward Crane', 'Doris Deane', 'Christine Francis', 'George Davis', 'Kewpie Morgan', 'Steve Murphy', 'John Patrick', 'Betsy Ann Hisle', 'Ford West']",4.36,4.5,"['Action', 'Comedy', 'Mystery']",45,['USA'],No spoken language,['No spoken language'],['Metro Pictures Corporation'],108935,47345,37700,718,42,111,118,475,773,3982,7187,21119,14701,20947,69455,https://letterboxd.com/film/sherlock-jr/
