Film_title;Release_year;Director;Genres;Owner_rating;Average_rating;Runtime;Countries;Original_Language;Spoken_Languages;Watches;List_Appearances;Likes;Cast;Studios;Letterboxd URL
Perfect Blue;1997;Satoshi Kon;['Thriller', 'Animation'];4.5;4.39;81;['Japan'];Japanese;['Japanese'];610097;161458;277757;['Junko Iwao', 'Rica Matsumoto', 'Shiho Niiyama', 'Masaaki Okura', 'Shinpachi Tsuji', 'Emiko Furukawa', 'Yosuke Akimoto', 'Yoku Shioya', 'Hideyuki Hori', 'Emi Shinohara', 'Masashi Ebara', 'Kiyoyuki Yanada', 'Toru Furusawa', 'Aya Hara', 'Shin-ichiro Miki', 'Megumi Tano', 'Emi Motoi', 'Akio Suyama', 'Osamu Hosoi', 'Koichi Tochika', 'Soichiro Hoshi', 'Kisho Taniyama', 'Shokkâ Ôno', 'Rofuto Purasu Wan Burazâzu', 'Makoto Kitano', 'Kaori Minami', 'Jin Yamanoi', 'Takashi Nagasako'];['Madhouse', 'Rex Entertainment', 'Kotobuki Seihan Printing', 'Asahi Broadcasting Corporation', 'Fangs Co.'];https://letterboxd.com//film/perfect-blue/
The Human Condition II: Road to Eternity;1959;Masaki Kobayashi;['History', 'Drama', 'War'];4;4.39;178;['Japan'];Japanese;['Japanese', 'Chinese', 'Russian'];20417;17366;7350;['Tatsuya Nakadai', 'Michiyo Aratama', 'Kokinji Katsura', 'Jun Tatara', 'Michirō Minami', 'Kei Satō', 'Kunie Tanaka', 'Ryôhei Uchida', 'Kan Yanagiya', 'Kenjiro Uemura', 'Kaneko Iwasaki', 'Mayumi Kurata', 'Taketoshi Naitō', 'Hideo Kidokoro', 'Yoshirō Aoki', 'Rō Ose', 'Tamotsu Tamura', 'Tōru Takeuchi', 'Izumi Hara', 'Sen Yano', 'Akio Miyabe', 'Takashi Ebata', 'Keiji Sada', 'Yūsuke Kawazu', 'Susumu Fujita', 'Minoru Chiaki', 'Shōji Yasui', 'Fumio Watanabe', 'Jun Hamamura', 'Akiji Kobayashi', 'Keijirō Morozumi', 'Shōbun Inoue', 'Shojiro Ogasawara', 'Shōji Ōki', 'Isao Suenaga', 'Hisashi Igawa'];['Shochiku', 'TOHO', 'Bungei Production Ninjin Club'];https://letterboxd.com//film/the-human-condition-ii-road-to-eternity/
Incendies;2010;Denis Villeneuve;['Mystery', 'War', 'Drama'];4.5;4.39;131;['Canada', 'France'];French;['French', 'Arabic', 'English'];212176;68977;76389;['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Rémy Girard', 'Allen Altman', 'Abdelghafour Elaaziz', 'Dominique Briand', 'Frédéric Paquet', 'Ahmad Massad', 'John Dunn-Hill', 'Jackie Sawiris', 'Lara Atalla', 'Baya Belal', 'Yousef Shweihat', 'Karim Babin', 'Mohamed Majd', 'Mustafa Kamel', 'Hussein Sami', 'Hamed Najem', 'Bader Alami', 'Majida Hussein', 'Asriah Nijres', 'Nadia Essadiqi'];['TS Productions', 'Phi Group', 'micro_scope', 'Entertainment One', 'Téléfilm Canada', 'Super Écran', 'CNC', 'The Movie Network', 'Société Radio-Canada', 'Astral Media', 'Seville International', 'Sony Pictures Classics'];https://letterboxd.com//film/incendies/
Barry Lyndon;1975;Stanley Kubrick;['Drama', 'Romance', 'War'];4.5;4.39;185;['UK', 'USA'];English;['English', 'German', 'French'];252622;116291;87486;"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger', 'Diana Körner', 'Gay Hamilton', 'Frank Middlemass', ""Arthur O'Sullivan"", 'Godfrey Quigley', 'Leonard Rossiter', 'Philip Stone', 'Steven Berkoff', 'Marie Kean', 'Murray Melvin', 'André Morell', 'Leon Vitali', 'Billy Boyle', 'John Bindon', 'Roger Booth', 'Jonathan Cecil', 'Peter Cellier', 'Geoffrey Chater', 'Anthony Dawes', 'Patrick Dawson', 'Bernard Hepton', 'Anthony Herrick', 'Barry Jackson', 'Wolf Kahler', 'Pat Laffan', 'Hans Meyer', 'Ferdy Mayne', 'David Morley', 'Liam Redmond', 'Pat Roach', 'Dominic Savage', 'Frederick Schiller', 'George Sewell', 'Anthony Sharp', 'John Sharp', 'Roy Spencer', 'John Sullivan', 'Harry Towb', 'Michael Hordern']";['Hawk Films', 'Peregrine', 'Warner Bros. Pictures'];https://letterboxd.com//film/barry-lyndon/
Once Upon a Time in the West;1968;Sergio Leone;['Drama', 'Western'];5;4.38;166;['Italy', 'USA'];Italian;['Italian', 'English'];226967;82105;71786;['Claudia Cardinale', 'Henry Fonda', 'Jason Robards', 'Charles Bronson', 'Gabriele Ferzetti', 'Paolo Stoppa', 'Woody Strode', 'Jack Elam', 'Keenan Wynn', 'Frank Wolff', 'Lionel Stander', 'Frank Braña', 'Stefano Imparato', 'Claudio Mancini', 'Al Mulock', 'Antonio Palombi', 'Renato Pinciroli', 'Aldo Sambrell', 'Conrado San Martín', 'Enzo Santaniello', 'Simonetta Santaniello', 'Luana Strode', 'Fabio Testi', 'Marco Zuanelli', 'Antonio Molino Rojo', 'Román Ariznavarreta', 'John Frederick', 'Aldo Berti', 'Spartaco Conversi', 'Saturno Cerra', 'Paolo Figlia'];['Paramount', 'Rafran Cinematografica', 'San Marco'];https://letterboxd.com//film/once-upon-a-time-in-the-west/
The Cranes Are Flying;1957;Mikhail Kalatozov;['Romance', 'War', 'Drama'];5;4.38;97;['USSR'];Russian;['Russian'];40963;30258;15517;['Tatyana Samoylova', 'Aleksey Batalov', 'Vasili Merkuryev', 'Aleksandr Shvorin', 'Svetlana Kharitonova', 'Konstantin Kadochnikov', 'Valentin Zubkov', 'Antonina Bogdanova', 'Boris Kokovkin', 'Ekaterina Kupriyanova', 'Valentina Ananina', 'Valentina Vladimirova', 'Olga Dzisko', 'Leonid Knyazev', 'Georgiy Kulikov', 'Daniil Netrebin', 'Aleksandr Popov', 'Irina Preis', 'Nikolay Smorchkov', 'Galina Stepanova', 'Klarina Frolova-Vorontsova', 'Georgiy Shamshurin', 'Leonid Alekseyev', 'Valentina Berezutskaya', 'Maya Bulgakova', 'Lidiya Vinogradova', 'Lidiya Genel-Ablova', 'Aleksandr Degtyar', 'Anatoliy Dudorov', 'Tamara Evgeneva-Ivanova', 'Ivan Zalesskiy', 'Anna Zargitckaia', 'Maria Klyuchareva', 'Yuri Komissarov', 'Aleksandr Kuznetsov', 'Yevgeniya Lyzhina', 'Alevtina Rumyantseva', 'Mikhail Semenikhin', 'Lyubov Sokolova', 'Lyubov Studneva', 'Vasiliy Fushchich', 'Vasiliy Tsygankov', 'Evgeni Kudryashov'];['Mosfilm'];https://letterboxd.com//film/the-cranes-are-flying/
It's Such a Beautiful Day;2012;Don Hertzfeldt;['Comedy', 'Animation'];5;4.38;62;['USA'];English;['English'];109467;45718;44945;['Don Hertzfeldt', 'Sara Cushman'];['Bitter Films'];https://letterboxd.com//film/its-such-a-beautiful-day/
A Woman Under the Influence;1974;John Cassavetes;['Drama'];4.5;4.38;155;['USA'];English;['English', 'Italian'];97338;57592;36473;['Gena Rowlands', 'Peter Falk', 'Fred Draper', 'Lady Rowlands', 'Katherine Cassavetes', 'Matthew Labyorteaux', 'Matthew Cassel', 'Christina Grisanti', 'George Dunn', 'Mario Gallo', 'Eddie Shaw', 'Angelo Grisanti', 'Charles Horvath', 'James Joyce', 'John Finnegan', 'Vincent Barbi', 'Cliff Carnell', 'Frank Richards', 'Hugh Hurd', 'Leon Wagner', 'Dominique Davalos', 'Xan Cassavetes', 'Pancho Meisenheimer', 'Sonny Aprile', 'Ellen Davalos', 'Joanne Moore Jordan', 'John Hawker', 'Sylvester Words', 'Elizabeth Deering', 'Jackie Peters', 'Elsie Ames', 'N.J. Cassavetes'];['Faces International Films'];https://letterboxd.com//film/a-woman-under-the-influence/
The Lord of the Rings: The Two Towers;2002;Peter Jackson;['Fantasy', 'Adventure', 'Action'];5;4.38;179;['New Zealand', 'USA'];English;['English'];1568328;165907;502945;['Elijah Wood', 'Sean Astin', 'Andy Serkis', 'Viggo Mortensen', 'Ian McKellen', 'Bernard Hill', 'John Rhys-Davies', 'Orlando Bloom', 'Dominic Monaghan', 'Billy Boyd', 'Christopher Lee', 'Miranda Otto', 'David Wenham', 'Brad Dourif', 'Karl Urban', 'Liv Tyler', 'Cate Blanchett', 'Hugo Weaving', 'Craig Parker', 'Bruce Allpress', 'John Bach', 'Sala Baker', 'Jed Brophy', 'Sam Comery', 'Calum Gittins', 'Phil Grieve', 'Bruce Hopkins', 'Paris Howe Strewe', 'Nathaniel Lees', 'John Leigh', 'Robbie Magasiva', 'Robyn Malcolm', 'Bruce Phillips', 'Robert Pollock', 'Olivia Tennet', 'Raymond Trickitt', 'Stephen Ure', 'Billy Jackson', 'Katie Jackson', 'Sean Bean', 'John Noble', 'Victoria Beynon-Cole', 'Lee Hartley', 'Frazer Anderson', 'Ben Barrington', 'Jarl Benzon', 'Jørn Benzon', 'Owen Black', 'Dorothy Anne Bonner', 'Ben Britton', 'Riley Brophy', 'Alistair Browning', 'Alix Bushnell', 'Sean Button', 'Ryan Carey', 'Rodney Cook', 'Augie Davis', 'Mana Hira Davis', 'Shane Dawson', 'Karlos Drinkwater', 'Aron Eastwood', 'Frank Edwards', 'Clint Elvy', 'Alexia Fairbrother', 'Daniel Falconer', 'Siaosi Fonua', 'Kester Fordham', 'Michael Fowler', 'Ben Fransham', 'Frank Goldingham', 'Winham Hammond', 'Jonathan Harding', 'Lucas Hayward', 'Dan Hennah', 'Jason Hood', 'Lani Jackson', 'Peter Jackson', 'Gareth Jensen', 'Sam Kelly', 'Richard Knowles', 'Sandro Kopp', 'Sam La Hood', 'Don Langridge', 'Michael Lawrence', 'Alan Lee', 'Jono Manks', 'Brent McIntyre', 'Dra McKay', 'Joseph Mika-Hunt', 'Dean Morganty', 'Henry Mortensen', 'Francis Mountjoy', 'Paul Norell', 'Barrie M. Osborne', 'Allan Poppleton', 'Gareth Reeves', 'Miranda Rivers', 'Campbell Rousselle', 'Matthew J. Saville', 'Samuel E. Shore', 'Allan Smith', 'Greg Tozer', 'Piripi Waretini', 'Tim Wong', 'John Wraight', 'Kelley Kerr Young', 'Robert Young'];['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company'];https://letterboxd.com//film/the-lord-of-the-rings-the-two-towers/
Rear Window;1954;Alfred Hitchcock;['Mystery', 'Thriller'];5;4.37;112;['USA'];English;['English'];636671;160285;222679;['James Stewart', 'Grace Kelly', 'Thelma Ritter', 'Wendell Corey', 'Raymond Burr', 'Judith Evelyn', 'Ross Bagdasarian', 'Georgine Darcy', 'Irene Winston', 'Sara Berner', 'Frank Cady', 'Jesslyn Fax', 'Rand Harper', 'Havis Davenport', 'Jerry Antes', 'Benny Bartlett', 'Nick Borgani', 'Sue Casey', 'Iphigenie Castiglioni', 'James Cornell', 'Don Dunning', 'Marla English', 'Bess Flowers', 'Art Gilmore', 'Fred Graham', 'Kathryn Grant', 'Charles Harvey', 'Len Hendry', 'Alfred Hitchcock', 'Harry Landers', 'Alan Lee', 'Mike Mahoney', 'Jonnie Paris', 'Eddie Parker', 'Robert Sherman', 'Dick Simmons', 'Ralph Smiley', 'Jack Stoney', 'Anthony Warde', 'Gig Young'];['Paramount', 'Patron Inc.'];https://letterboxd.com//film/rear-window/
The Battle of Algiers;1966;Gillo Pontecorvo;['War', 'History', 'Drama'];4;4.37;121;['Italy', 'Algeria'];Italian;['Italian', 'Arabic', 'English', 'French'];86020;47476;27018;['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash', 'Ugo Paletti', 'Fusia El Kader', 'Mohamed Ben Kassen', 'Gene Wesson'];['Igor Film', 'Casbah Film'];https://letterboxd.com//film/the-battle-of-algiers/
It's a Wonderful Life;1946;Frank Capra;['Family', 'Drama', 'Fantasy'];5;4.37;130;['USA'];English;['English'];493291;128372;157810;"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers', 'Beulah Bondi', 'Frank Faylen', 'Ward Bond', 'Gloria Grahame', 'H.B. Warner', 'Frank Albertson', 'Todd Karns', 'Samuel S. Hinds', 'Mary Treen', 'Virginia Patton', 'Charles Williams', 'Sarah Edwards', 'William Edmunds', 'Lillian Randolph', 'Argentina Brunetti', 'Robert J. Anderson', 'Ronnie Ralph', 'Jean Gale', 'Jeanine Ann Roose', 'Danny Mummert', 'Georgie Nokes', 'Sheldon Leonard', 'Frank Hagney', 'Ray Walker', 'Charles Lane', 'Edward Keane', 'Carol Coombs', 'Karolyn Grimes', 'Larry Simms', 'Jimmy Hawkins', 'Jean Acker', 'Ernie Adams', 'Monya Andre', 'Stanley Andrews', 'Sam Ash', 'Jack Bailey', 'Louise Bates', 'Mary Bayless', 'Beth Belden', 'Brooks Benedict', 'Joseph E. Bernard', 'Al Bridge', 'Buz Buckley', 'Marian Carr', 'Adriana Caselotti', 'Lane Chandler', 'Michael Chapin', 'Tom Chatterton', 'Jack Cheatham', 'Harry Cheshire', 'Edward Clark', 'Tom Coleman', 'Ellen Corby', 'Bryn Davis', 'Lew Davis', 'Harry Denny', 'Helen Dickson', 'Dick Elliott', 'Tom Fadden', 'Frank Fenton', 'Eddie Fetherston', 'Sam Flint', 'Lee Frederick', 'Dick Gordon', 'Jack Gordon', 'Herschel Graham', 'Joseph Granby', 'Charles Halton', 'Carl Eric Hansen', 'Herbert Heywood', 'Harry Holman', 'Art Howard', 'Bert Howard', 'Arthur Stuart Hull', 'John Indrisano', 'Eddie Kane', 'Carl Kent', 'Milton Kibbee', 'Effie Laird', 'Mike Lally', 'Harold Landon', ""Meade 'Lux' Lewis"", 'Jack Lomas', 'J. Farrell MacDonald', 'Irene Mack', 'Wilbur Mack', 'Charles Meakin', 'Priscilla Montgomery', 'Bert Moorhouse', 'Evelyn Moriarty', 'Philip Morris', 'George Noisom', ""Bob O'Connor"", ""Frank O'Connor"", ""Lynn O'Leary-Jameson"", 'Moroni Olsen', 'Garry Owen', 'Netta Packer', 'Franklin Parker', 'Suzanne Ridgway', 'Mark Roberts', 'Constantine Romanoff', 'Cy Schindell', 'Almira Sessions', 'Cedric Stevens', 'Brick Sullivan', 'Charles Sullivan', 'Carl Switzer', 'Max Wagner', 'Larry Wheat', 'Charles C. Wilson', 'Jimmy the Crow']";['Liberty Films'];https://letterboxd.com//film/its-a-wonderful-life/
The Red Shoes;1948;Emeric Pressburger, Michael Powell;['Romance', 'Drama'];4.5;4.37;133;['UK'];English;['English', 'Russian', 'French'];108809;72398;41272;['Moira Shearer', 'Adolf Wohlbrück', 'Marius Goring', 'Léonide Massine', 'Robert Helpmann', 'Albert Bassermann', 'Esmond Knight', 'Ludmilla Tchérina', 'Jean Short', 'Gordon Littmann', 'Julia Lang', 'Bill Shine', 'Austin Trevor', 'Eric Berry', 'Irene Browne', 'Jerry Verno', 'Derek Elphinstone', 'Marie Rambert', 'Joy Rawlins', 'Marcel Poncin', 'Michel Bazalgette', 'Patrick Troughton'];['Independent Producers', 'The Archers', 'J. Arthur Rank Organisation'];https://letterboxd.com//film/the-red-shoes/
Sansho the Bailiff;1954;Kenji Mizoguchi;['Drama'];4;4.37;124;['Japan'];Japanese;['Japanese'];36429;34161;12186;['Kinuyo Tanaka', 'Yoshiaki Hanayagi', 'Kyōko Kagawa', 'Eitarō Shindō', 'Akitake Kôno', 'Masahiko Tsugawa', 'Keiko Enami', 'Masao Shimizu', 'Ken Mitsuda', 'Kazukimi Okuni', 'Yōko Kozono', 'Noriko Tachibana', 'Ichirō Sugai', 'Teruko Omi', 'Chieko Naniwa', 'Kikue Mōri', 'Ryōsuke Kagawa', 'Kanji Koshiba', 'Shinobu Araki', 'Reiko Kongō', 'Shōzō Nanbu', 'Ryōnosuke Azuma', 'Sumao Ishihara', 'Yukio Horikita', 'Jun Fujikawa', 'Sōji Shibata', 'Akira Shimizu', 'Midori Komatsu', 'Tokio Oki', 'Akira Shiga', 'Saburo Date', 'Goro Nakanishi', 'Ichirō Amano', 'Hachiro Okuni', 'Akiyoshi Kikuno'];['Daiei Film'];https://letterboxd.com//film/sansho-the-bailiff/
Princess Mononoke;1997;Hayao Miyazaki;['Adventure', 'Fantasy', 'Animation'];4;4.36;134;['Japan'];Japanese;['Japanese'];962919;177417;380352;['Youji Matsuda', 'Yuriko Ishida', 'Yuko Tanaka', 'Kaoru Kobayashi', 'Masahiko Nishimura', 'Tsunehiko Kamijō', 'Akihiro Miwa', 'Mitsuko Mori', 'Hisaya Morishige', 'Sumi Shimamoto', 'Tetsu Watanabe', 'Makoto Satō', 'Akira Nagoya', 'Kei Iinuma', 'Yayoi Kazuki', 'Kimihiro Reizei', 'Yoshimasa Kondo', 'Akira Sakamoto', 'Shirô Saitô', 'Daikichi Sugawara', 'Takako Katou', 'Ikuko Yamamoto', 'Kiho Iinuma', 'Keith David', 'Corey Burton'];['Studio Ghibli', 'Nibariki', 'dentsu Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu'];https://letterboxd.com//film/princess-mononoke/
The Ascent;1977;Larisa Shepitko;['Drama', 'War'];4;4.36;111;['USSR'];Russian;['Russian', 'German'];34584;30381;12709;['Boris Plotnikov', 'Vladimir Gostyukhin', 'Sergey Yakovlev', 'Lyudmila Polyakova', 'Viktoriya Goldentul', 'Anatoliy Solonitsyn', 'Mariya Vinogradova', 'Nikolai Sektimenko', 'Anatoli Chebotaryov', 'Sergei Kanishchev', 'Vasili Kravtsov', 'Mikhail Selyutin', 'Leonid Yukhin', 'Aleksandr Zvenigorskiy', 'Vladimir Rudyy', 'Sergey Fyodorov'];['Mosfilm', 'Tretye Tvorcheskoe Obyedinenie'];https://letterboxd.com//film/the-ascent/
A Separation;2011;Asghar Farhadi;['Drama'];4.5;4.36;123;['Australia', 'France', 'Iran'];Persian (Farsi);['Persian (Farsi)'];157322;52983;48756;['Leila Hatami', 'Payman Maadi', 'Shahab Hosseini', 'Sare Bayat', 'Sarina Farhadi', 'Babak Karimi', 'Ali-Asghar Shahbazi', 'Shirin Yazdanbakhsh', 'Kimia Hosseini', 'Merila Zarei', 'Mohammad Sajadian', 'Armine Zeytounchian', 'Bahareh Riahi'];['Asghar Farhadi Productions', 'Dreamlab Films', 'MPA APSA Academy Film Fund', 'Memento Films Production'];https://letterboxd.com//film/a-separation/
Sherlock, Jr.;1924;Buster Keaton;['Action', 'Comedy', 'Mystery'];4.5;4.36;45;['USA'];English;['English', 'No spoken language'];102755;44231;35405;['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly', 'Ward Crane', 'Doris Deane', 'Christine Francis', 'George Davis', 'Kewpie Morgan', 'Steve Murphy', 'John Patrick', 'Betsy Ann Hisle', 'Ford West'];['Metro Pictures Corporation'];https://letterboxd.com//film/sherlock-jr/
The Lord of the Rings: The Fellowship of the Ring;2001;Peter Jackson;['Fantasy', 'Adventure', 'Action'];5;4.36;179;['New Zealand', 'USA'];English;['English'];1972659;221534;690056;['Elijah Wood', 'Ian McKellen', 'Sean Astin', 'Viggo Mortensen', 'Christopher Lee', 'Liv Tyler', 'Sean Bean', 'Ian Holm', 'John Rhys-Davies', 'Orlando Bloom', 'Billy Boyd', 'Dominic Monaghan', 'Hugo Weaving', 'Cate Blanchett', 'Brent McIntyre', 'Sala Baker', 'Alan Howard', 'Andy Serkis', 'Lawrence Makoare', 'Craig Parker', 'Marton Csokas', 'Peter McKenzie', 'Mark Ferguson', 'Harry Sinclair', 'Noel Appleby', 'Megan Edwards', 'Sarah McLeod', 'David Weatherley', 'Ian Mune', 'Michael Elsworth', 'Cameron Rhodes', 'Martyn Sanderson', 'Billy Jackson', 'Katie Jackson', 'Victoria Beynon-Cole', 'Paul Bryson', 'Lance Fabian Kemp', 'Phil Grieve', 'Lee Hartley', 'Jonathan Jordan', 'Semi Kuresa', 'Sam La Hood', 'Jono Manks', 'Ben Price', 'Chris Streeter', 'Clinton Ulyatt', 'Peter Jackson', 'Chris Ryan', 'Bret McKenzie', 'Betty Adams', 'Timothy Bartlett', 'Bob Blackwell', 'David Houma', 'Jo Surgison', 'Liz Merton', 'Zo Hartley', 'Norman Cates', 'Jeff Kingsford-Brown', 'Marta Martí', 'Riley Brophy', 'Phoebe Gittins', 'Taea Hartwell', 'Shane Rangi', 'Jed Brophy', 'Paul Shapcott', 'Alan Lee', 'Larry Rew', 'Gino Acevedo', 'Xander Forterie', 'Richard Maybery', 'Sabine Crossen', 'Gareth Jensen', 'Ben Britton', 'Kester Fordham', 'Jarl Benzon', 'Sam Kelly', 'Matt Appleton', 'Blair Morton', 'Ray Henwood', 'Ralph Johnson', 'Jonathan Harding', 'Jørn Benzon', 'Ben Fransham', 'Tim Kano', 'Sacha Lee', 'Thomas Robins', 'Randall William Cook', 'Rachel Clentworth', 'Lani Jackson', 'Sharon Maxwell', 'David J. Muzzerall', 'Winham Hammond', 'Mana Hira Davis', 'Warren Green', 'Stu Johnson', 'Peter Lyon', 'Peter Daube', 'Samuel E. Shore', 'Rodney Bane', 'Daniel Andrews', 'Siaosi Fonua', 'Ken Stratton', 'Lynden Berrymen', 'Ryan Carey', 'Tack Daniel', 'Shane Dawson', 'Branko Dordevich', 'Greg Lane', 'Tim McLachlan', 'Dean Morganty', 'Greg Morrison', 'Andrew Munro', 'Grant Roa', 'Vincent Roxburgh', 'Mike Stearne', 'Andrew Stehlin', 'Tim Wong'];['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company'];https://letterboxd.com//film/the-lord-of-the-rings-the-fellowship-of-the-ring/
One Flew Over the Cuckoo's Nest;1975;Miloš Forman;['Drama'];4.5;4.36;133;['USA'];English;['English'];767079;139845;243745;['Jack Nicholson', 'Brad Dourif', 'Louise Fletcher', 'Danny DeVito', 'William Redfield', 'Scatman Crothers', 'Christopher Lloyd', 'Will Sampson', 'Dean R. Brooks', 'Michael Berryman', 'Sydney Lassick', 'William Duell', 'Vincent Schiavelli', 'Peter Brocco', 'Alonzo Brown', 'Mwako Cumbuka', 'Josip Elic', 'Ken Kenny', 'Nathan George', 'Ted Markland', 'Louisa Moritz', 'Mews Small', 'Delos V. Smith Jr.', 'Lan Fendors', 'Mimi Sarkisian', 'Mel Lambert', 'Kay Lee', 'Dwight Marfield', 'Tin Welch', 'Philip Roth', 'Aurore Clément', 'Anjelica Huston', 'Audrey Landers', 'Saul Zaentz'];['Fantasy Films'];https://letterboxd.com//film/one-flew-over-the-cuckoos-nest/
Satantango;1994;Béla Tarr;['Drama'];4.5;4.35;432;['Germany', 'Hungary', 'Switzerland'];Hungarian;['Hungarian'];36851;35645;13759;['Mihály Víg', 'Putyi Horváth', 'Miklós Székely B.', 'Erika Bók', 'László feLugossy', 'Alfréd Járai', 'János Derzsi', 'Irén Szajki', 'Éva Almássy Albert', 'Erzsébet Gaál', 'Peter Berling', 'György Barkó', 'Zoltán Kamondi', 'Barna Mihók', 'Péter Dobai', 'András Bodnár', 'Ica Bojár', 'István Juhász', 'Ferenc Kállai', 'Gyula Pauer', 'Mihály Kormos', 'Ernő Mihályi', 'András Fekete', 'Andor Simai', 'Katalin Krizsánné Kovács', 'Vilmosné Pataki', 'Mária Borbély', 'Kati Makrányi', 'Zsuzsa Fodor', 'Beatrix Jeszensky', 'Rita Deák Varga', 'Frigyes Hollósi', 'Ágnes Kamondy', 'Kína Vetõ', 'Mia Santamaria', 'József Kresinka', 'Mihály Ráday'];['Von Vietinghoff Filmproduktion (VVF)', 'Vega Film', 'Mozgókép Innovációs Társulás és Alapítvány', 'Magyar Televízió', 'TSR'];https://letterboxd.com//film/satantango/
Before Sunset;2004;Richard Linklater;['Drama', 'Romance'];5;4.35;80;['USA'];English;['English', 'French'];553278;134139;211590;['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès', 'Rodolphe Pauly', 'Mariane Plasteig', 'Diabolo', 'Denis Evrard', 'Albert Delpy', 'Marie Pillet'];['Warner Independent Pictures', 'Castle Rock Entertainment', 'Detour Filmproduction'];https://letterboxd.com//film/before-sunset/
The Pianist;2002;Roman Polanski;['Drama', 'War'];4;4.35;150;['France', 'Germany', 'Poland', 'UK'];English;['English', 'German', 'Polish', 'Russian'];772672;107726;230199;['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Maureen Lipman', 'Emilia Fox', 'Ed Stoppard', 'Julia Rayner', 'Jessica Kate Meyer', 'Michal Zebrowski', 'Wanja Mues', 'Richard Ridings', 'Nomi Sharron', 'Anthony Milner', 'Lucy Skeaping', 'Roddy Skeaping', 'Ben Harlan', 'Thomas Lawinky', 'Joachim Paul Assböck', 'Roy Smiles', 'Paul Bradley', 'Daniel Caltagirone', 'Andrzej Blumenfeld', 'Zbigniew Zamachowski', 'Detlev von Wangenheim', 'Popeck', 'Zofia Czerwińska', 'Udo Kroschwald', 'Uwe Rathsam', 'Joanna Brodzik', 'Katarzyna Bargiełowska', 'Maja Ostaszewska', 'John Bennett', 'Cyril Shaps', 'Wojciech Smolarz', 'Lech Mackiewicz', 'Ruth Platt', 'Peter Rappenglück', 'Ronan Vibert', 'Krzysztof Pieczyński', 'Katarzyna Figura', 'Valentine Pelka', 'Andrew Tiernan', 'Tom Strauss', 'Cezary Kosiński', 'Paweł Burczyk', 'Nina Franoszek', 'John Keogh', 'Rafał Mohr', 'Andrzej Pieczyński', 'Morgane Polanski', 'Grzegorz Artman', 'Adam Bauman', 'Andrzej Szenajch', 'Zbigniew Dziduch', 'Marian Dziędziel', 'Jerzy Góralczyk', 'Jarosław Kopaczewski', 'Patrick Lanagan', 'Dorota Liliental', 'Norbert Rakowski', 'Piotr Siejka', 'Tomasz Tyndyk', 'Andrzej Walden', 'Zbigniew Waleryś', 'Maciej Winkler', 'Tadeusz Wojtych', 'Andrzej Zieliński', 'Paweł Małaszyński', 'Axel Prahl', 'Borys Szyc', 'Rafał Dajbor', 'Adrian Hood', 'Ryszard Kluge', 'Maciej Kowalewski', 'Pawel Zdun', 'Jacek Wolszczak', 'Malgorzata Trybalska', 'Dawid Szurmiej', 'Izabella Szolc'];['Canal+ Polska', 'Bac Films', 'Heritage Films', 'Studio Babelsberg', 'Agencja Produkcji Filmowej', 'FFF Bayern', 'Filmboard Berlin-Brandenburg (FBB)', 'R.P. Productions', 'StudioCanal', 'Canal+', 'TVP', 'Runteam', 'FFA'];https://letterboxd.com//film/the-pianist/
